ID,Nome,Categoria,Descrição,Preço Fixo?,Preço Fixo (R$),Preço Mín (R$),Preço Máx (R$),Ativo
"86cf5586-a90d-4270-9b4c-ac02a111d3fd","Legalização de projeto","engenharia","Sob orçamento","Não","","","","Sim"
"77817311-53ab-4cbc-a2a5-be50b7af6311","Cama solteiro/casal","montagem","Montagem de cama padrão","Sim","120","96","156","Sim"
"52af3138-e845-4d02-b533-b18639a05d79","Cortinas e persianas (par)","montagem","Instalação de cortinas/persianas","Sim","90","72","117","Sim"
"0ed4e55b-08f6-49dd-8eaf-3e17b2f29033","Cozinha completa","montagem","Sob orçamento","Não","","","","Sim"
"af33c05e-d423-4ee6-8414-0d518bc66ceb","Guarda-roupa (por porta)","montagem","Montagem de guarda-roupa cobrada por porta","Sim","60","48","78","Sim"
"1a0653a0-6d6d-47b2-82a0-ff97826f552f","Kit fixação (até 5 furos)","montagem","Furos e fixação de quadros/prateleiras","Sim","80","64","104","Sim"
"855d287b-2e3f-421b-b182-13184664d88f","Painel de TV/Estante","montagem","Sob orçamento","Não","","","","Sim"
"b0cbb9ba-f4bd-4c79-b20a-3151713a7a2a","Suporte de TV articulado","montagem","Instalação de suporte de TV","Sim","130","104","169","Sim"
"282f5cf0-78b5-43e8-bbc6-76c2c1901d9c","Varal de teto/parede","montagem","Instalação de varal","Sim","100","80","130","Sim"
"ed0f7961-896f-407e-a0cd-69dedc173eb5","Conserto vazamento torneira","reparos","Reparo simples","Sim","70","56","91","Sim"
"3357d40d-07b6-422a-9948-946b5f56d0f6","Instalação de ventilador teto","reparos","Montagem completa","Sim","150","120","195","Sim"
"4d40386c-2995-466e-83b2-5fe668f7e3c3","Reparo de descarga","reparos","Mão de obra","Sim","110","88","143","Sim"
"1a04469c-771f-4dd0-ae9d-3cef1a01bac9","Troca de resistência chuveiro","reparos","Substituição de resistência","Sim","80","64","104","Sim"
"4fa36778-4055-4830-b8d6-132f885ac889","Troca de tomada/interruptor","reparos","Por unidade","Sim","40","32","52","Sim"
